config_id,fold,hidden_size,num_layers,dropout,learning_rate,batch_size,val_mse,val_rmse,n_epochs,wall_time_sec
0,0,256,1,0.0,0.000754669641079693,128,212.92256619721473,14.591866439808676,43,33.97722768783569
0,1,256,1,0.0,0.000754669641079693,128,158.34860425218224,12.583664182271484,50,32.973251819610596
0,2,256,1,0.0,0.000754669641079693,128,1716.8684134594737,41.43511087784699,22,14.841127395629883
0,3,256,1,0.0,0.000754669641079693,128,169.88123271137204,13.03384949703548,50,33.18981218338013
0,4,256,1,0.0,0.000754669641079693,128,199.201039618109,14.113859841237938,50,33.818970680236816
1,0,32,2,0.047088673943824766,0.008938089586343595,256,166.04327876258475,12.885778158985383,50,17.952781438827515
1,1,32,2,0.047088673943824766,0.008938089586343595,256,115.69100538044962,10.755975333759817,50,17.46196675300598
1,2,32,2,0.047088673943824766,0.008938089586343595,256,211.43964375239472,14.54096433364702,50,17.221609592437744
1,3,32,2,0.047088673943824766,0.008938089586343595,256,239.02702895348224,15.460498987855543,50,18.14440155029297
1,4,32,2,0.047088673943824766,0.008938089586343595,256,159.35372845360953,12.623538666063867,50,17.170496702194214
2,0,256,2,0.3930321526384769,0.00018039615030067863,512,2074.662153927026,45.548459402344506,50,52.03523254394531
2,1,256,2,0.3930321526384769,0.00018039615030067863,512,2074.229160366504,45.543706045583335,50,53.41692042350769
2,2,256,2,0.3930321526384769,0.00018039615030067863,512,2076.0290682797468,45.56346198742746,50,54.238340616226196
2,3,256,2,0.3930321526384769,0.00018039615030067863,512,2074.0707257472045,45.54196664338514,50,54.823426723480225
2,4,256,2,0.3930321526384769,0.00018039615030067863,512,2075.3070167335304,45.555537717532545,50,55.24452447891235
3,0,128,1,0.0,0.0071372346904019736,128,388.472634509199,19.709709143191308,37,18.79280996322632
3,1,128,1,0.0,0.0071372346904019736,128,1716.8971893967591,41.435458117375255,13,6.189740180969238
3,2,128,1,0.0,0.0071372346904019736,128,167.60701337092195,12.946312732624758,44,22.18588948249817
3,3,128,1,0.0,0.0071372346904019736,128,1718.1256361095184,41.45027908361436,15,7.80010724067688
3,4,128,1,0.0,0.0071372346904019736,128,1716.909940627863,41.435611985680424,21,10.05371379852295
4,0,128,2,0.411380806635415,0.0007705989229173013,128,1717.6718035824306,41.44480430141311,32,23.640851736068726
4,1,128,2,0.411380806635415,0.0007705989229173013,128,1716.8766742030034,41.435210560621066,30,22.352903842926025
4,2,128,2,0.411380806635415,0.0007705989229173013,128,1716.860480622638,41.43501515171242,29,21.654152631759644
4,3,128,2,0.411380806635415,0.0007705989229173013,128,1718.1098776161125,41.450088994067464,36,26.708903074264526
4,4,128,2,0.411380806635415,0.0007705989229173013,128,1716.9087352464355,41.43559744044287,27,20.32103157043457
5,0,32,1,0.0,0.0001341635410168892,256,6598.695816900576,81.2323569576839,50,17.036064386367798
5,1,32,1,0.0,0.0001341635410168892,256,6601.845381278485,81.25174078921931,50,16.741488218307495
5,2,32,1,0.0,0.0001341635410168892,256,6601.34320522698,81.24865048249713,50,17.54631996154785
5,3,32,1,0.0,0.0001341635410168892,256,6597.086518201915,81.22245082612267,50,16.463768005371094
5,4,32,1,0.0,0.0001341635410168892,256,6601.574369918956,81.25007304562227,50,16.610796451568604
6,0,256,2,0.3158321995610324,0.00328227889435858,256,1717.6727747718219,41.44481601807181,20,23.2973210811615
6,1,256,2,0.3158321995610324,0.00328227889435858,256,1716.8765540898419,41.43520911121171,18,21.18059468269348
6,2,256,2,0.3158321995610324,0.00328227889435858,256,1716.860256277199,41.43501244451604,24,28.285346508026123
6,3,256,2,0.3158321995610324,0.00328227889435858,256,1718.1098050458716,41.45008811867439,14,16.720502376556396
6,4,256,2,0.3158321995610324,0.00328227889435858,256,1716.908825834574,41.43559853356258,18,21.342411041259766
7,0,32,1,0.0,0.0061128289383324905,512,1717.6818342248216,41.44492531329767,50,12.983670234680176
7,1,32,1,0.0,0.0061128289383324905,512,1716.8873769678876,41.4353397110231,50,12.7312171459198
